A,B,
0.00460974299818,0.382610262895,1
0.203475960506,17.2605177081,4
0.000411211824809,0.0783063428668,5
0.000899954136663,0.925238525846,6
0.000849526639345,0.271260010415,7
0.00695332390957,1.55647750937,8
0.0486013523899,18.186459317,11
0.0597429081859,2.63145193759,12
0.119858060709,17.4238306282,13
0.232605053892,29.7573026825,14
0.00232066158459,10.2787825809,16
0.000403391959675,0.412602585238,17
0.00368585249093,7.13700274003,18
2.28978353405,46.5719704386,20
0.0125152028778,11.2389561731,21
0.0459657376703,18.3335117927,22
0.0104818306814,13.9575326866,23
0.0308469412235,20.0716838408,25
0.00177035062082,1.44799052558,26
0.000879002418194,4.29778118189,28
0.0057007984304,7.14905801567,30
0.000962508867735,9.10610176737,32
0.0372642978381,10.1723633499,35
0.01114420065,16.5048230082,36
0.102498738182,20.0629482128,37
0.0604630348369,12.3869412812,38
0.00784790879589,7.87375615244,39
0.00357168066531,10.4570316611,40
0.0652445894939,8.9676242536,42
0.00683988427252,2.47093387666,45
0.00744252911197,10.0237898971,46
0.00454834313329,3.83775643683,48
0.00272111474691,3.73418425613,49
0.027747322297,11.9765961725,52
0.0107248652489,2.51148787281,54
0.040361142446,2.92146403106,55
0.00386958597194,0.0805411769629,56
0.29695403615,24.8790108151,57
0.00439404365562,5.05017820653,58
0.0183349756777,11.6123510823,59
0.0829755618639,17.6530611882,60
0.000844709499701,0.54313487304,62
0.015796029068,11.9030932831,63
0.545577668912,16.6673778644,64
0.0307967517698,10.4001732924,66
0.0405627390814,17.0028841032,67
0.00330992232625,14.767304795,68
0.0715883278276,14.4399538944,69
0.0292390197853,10.6437241029,70
0.0728534337308,20.7318072635,72
0.0203254514756,15.2095980869,73
0.00962897278049,14.6137203823,74
0.00600205501238,6.58867646476,75
0.119168249957,18.1547482876,77
0.000843767103547,2.38084684469,79
0.227727282641,13.8047692588,80
0.0345123602155,21.5227733353,81
0.00187569237539,1.53124853505,82
0.0116080284503,12.790198096,83
0.000869732082687,5.40660526384,84
0.00755457303227,11.4127059328,85
0.00965530694592,1.7075946537,86
0.0329948809423,12.0830488832,87
0.00543741803816,2.05888109494,88
0.0576641289373,20.9068547114,89
0.291021317366,4.85550106044,91
0.00460051113297,10.1415904067,92
0.0109015554621,1.64193490584,93
0.0103700249089,13.2634891408,96
0.0317023803952,14.1477712377,97
0.00810872115297,8.43208541103,98
