A,B
5.75916074762e-26,4.93680061918e+36
1.40470717218e-33,4.98463926301e+123
7.38584100393e-37,1.14999774585e+99
7.38584100393e-37,1.14999774585e+99
2.26583738074e-24,7.12460301259e+86
2.51121132555e-10,8.89613900838e+111
2.04022205645e-28,1.12370034835e+64
9.67520369292e-28,4.90808708792e+78
2.79586428318e-32,2.01625567557e+84
7.9872011432e-39,8.88325392807e+105
2.65784540763e-58,2.2991517305e+68
3.8530615946e-43,2.45266191184e+112
2.70835267832e-17,2.70053637152e+56
1.89761958951e-15,2.48715534371e+100
2.33938138357e-36,6.84861117205e+82
1.77179782676e-16,3.4844806134e+110
1.91573207388e-10,2.46971683504e+65
2.52250022665e-12,2.32896000875e+51
1.47804309411e-35,4.00764370853e+40
8.76154917002e-42,2.38697466081e+36
1.27276358655e-07,5.49416858144e+149
3.72772099238e-33,1.56458044035e+103
4456.98327227,1.60443823917e+95
1.54940222541e-29,2.55979122115e+68
4.28220305794e-27,3.80442249242e+26
4.78444188148e-34,1.12578293314e+151
2.60924992122e-30,4.67087248248e+84
9.14454654297e-33,2.55661126218e+101
1.42720168083e-17,
3.64472801225e-25,9.12355720294e+62
1.36222186563e-15,5.39688065553e+74
1.61491258581e-38,2.36425172777e+66
2.32525062271e-26,7.15684626531e+82
1.47819780505e-33,1.14132691096e+99
4.46538155933e-13,1.89151082558e+145
3.97998699307e-29,98088592396.3
2.15843141532e-25,1.88528268332e+89
1.29821812353e-19,1.41281312523e+57
2.48815169658e-18,4.03986011179e+98
9.12386270963e-17,2.13893517191e+75
2.30605797456e-29,5.32567906972e+38
6218920773.99,1.39847996848e+44
3.14269243989e-32,8.43328450126e+59
4.58965525279e-41,7.58053550322e+146
4.58965525279e-41,7.58053550322e+146
6.24661297133e-23,2.84600081309e+127
3.08710390419e-59,7.89534533169e+88
9.58451814744e-25,1.00578864019e+57
9.12386270963e-17,2.13893517191e+75
7.63524542587e-05,0.0457440766024
1.12194890767e-47,54722.7143979
6.52278502496e-30,7.98741292727e+90
2.5941736346e-30,2.01278989847e+133
1.44101087233e-24,9.72182536145e+91
2.43647337016e+14,7.59954811117e+149
9.10284642556e-31,1.78430251519e+125
9.52431788618e-24,8.23183237724e+83
5.43491846446e-30,3.48828724171e+75
9.18155141158e-24,3.32680643837e+105
6.23995735192e-25,5.00247256423e+148
3.51702326359e-14,2.25850318354e+53
1.05557106032e-34,7.11768866339e+75
4.15226034299e-19,1.44399524704e+46
2.91385864268e-10,5.150898678e+94
3.05217323027e-38,1.9012075913e+50
3.95165845583e-37,9.65780662869e+41
9.56527290871e-34,5.33134797788e+71
1.38558050353e-17,4.68012341189e+115
1.72428832716e-29,6.59653834267e+18
8.71162286404e-21,1.53945777379e+65
1.37396051599e-53,6.76905452873e+147
3.70446193793e-20,1.61637930237e+32
4.605639852e-50,2.13411362063e+75
