A,B,
18.1618565382,0.0589105069309,1
18.8730179699,0.066604447144,4
20.1137220956,0.258103931705,5
19.8727223355,0.0643306274718,6
19.6309185575,0.154878777958,7
20.5587413392,0.236899869451,8
20.7672055443,0.131218406426,11
19.28519762,0.0825778307325,12
18.7878142836,0.0726442088933,13
18.0126934606,0.0477398078291,14
19.9831359457,0.106645597091,16
19.8139964208,0.057155310778,17
20.1740720429,0.113527031429,18
19.9313396984,0.0750381796268,19
18.6148886994,0.0539985682811,20
19.8251022991,0.0581941771492,21
19.8623855821,0.0857937247003,22
18.7945314895,0.0733147926716,23
19.9357162363,0.0989658366399,24
19.8889767633,0.0460561772976,26
17.4771929648,0.0502927602371,27
20.1326070634,0.0713659451799,28
19.6549111897,0.0674660344186,30
20.2087342296,0.0894146988845,31
19.8665847348,0.0429842611385,32
20.3509353861,0.0773326806008,33
18.1064936131,0.0460123172941,34
19.7889740479,0.113889217943,35
19.9206947609,0.0535420934825,36
19.694671676,0.0379406445642,37
19.9141925324,0.0396467485176,38
19.8351062481,0.051119241648,39
20.2042642516,0.0552252739465,40
18.6661394641,0.0585684160387,42
19.9846907917,0.0275837835381,43
20.161363809,0.0562777366497,45
19.7393796973,0.0343305128913,46
19.6612453503,0.126281688922,47
18.3173969626,0.0797965969083,48
19.8433343524,0.10180765578,49
20.3464173101,0.0491891408904,52
19.1289731115,0.0866707250957,53
19.6341993807,0.12500573703,54
19.14775553,0.0956942288721,55
17.1782183722,0.105699368951,56
20.0198752127,0.155639885777,57
19.2668551477,0.0630223294294,58
19.853248727,0.0789966011786,59
18.0164361307,0.0458025983638,60
17.7848523006,0.191126694028,61
19.3484967407,0.155731142632,62
20.192485216,0.128997477249,63
19.5885670597,0.168997319922,64
18.6581335307,0.118406110106,66
20.3043688493,0.113085977397,67
20.1008651504,0.137259731915,68
19.7903075118,0.188272631496,69
19.4818860861,0.065573516822,70
20.1019863563,0.035523992735,71
20.2279445633,0.0874430808324,72
19.8004334122,0.0428365765512,73
18.6936256835,0.0749323045502,74
19.8404522721,0.0403716756327,75
19.3648820302,0.0461692884322,78
20.1409888554,0.0898922636035,79
19.6026025653,0.0857682890839,80
20.1090205098,0.0923894150085,81
20.0086238779,0.077308645283,82
20.1009211432,0.0699349877257,83
19.7844925928,0.108649398067,84
20.1606608066,0.0775587469382,85
19.7727997715,0.0730044168267,86
19.8101133568,0.194471816729,87
19.9292401182,0.0959747260384,88
20.5112966562,0.101855711034,89
18.8501215417,0.0723921313425,91
20.1445150621,0.165398803742,92
18.3938149194,0.0679582974703,93
20.0558865328,0.097957295158,96
20.1074660577,0.0703099997503,97
19.4643475612,0.0487830284108,99
