A,B,
17.8103812633,0.040024219778,1
18.8740279159,0.0642721755476,4
20.0156394251,0.23918215617,5
19.6604931999,0.0421468998149,6
19.2084727155,0.0423079055628,7
20.086224986,0.244526672855,8
20.1141617953,0.086327478846,11
19.2802563383,0.0753541424144,12
18.3679007056,0.0574926210837,13
17.764051613,0.0227427020893,14
19.4094346029,0.0517214137511,16
19.7162981788,0.0476981364361,17
20.0585897697,0.0963158161786,18
19.8297400132,0.0668251502535,19
18.5183571486,0.0462866858407,20
19.6902600118,0.0620341622301,21
19.5795542663,0.0582438985585,22
18.6762014892,0.0615761287658,23
20.0895571902,0.145781645489,24
19.6233989531,0.0417554164525,26
17.2658029671,0.0776251751496,27
19.8330995964,0.0586374798943,28
19.9291223419,0.0309105841137,29
19.5207734312,0.0716234484169,30
19.7336626428,0.0591931944001,31
19.7576207253,0.0325886964559,32
19.9860260562,0.0454125344919,33
17.7979081849,0.0444825772295,34
19.613290871,0.0804087912061,35
19.6472874559,0.0368582816453,36
19.5246461581,0.0311514493331,37
19.6914656486,0.0440724721007,38
19.6049108358,0.0637050926467,39
20.0459360768,0.0680801142517,40
19.6648576446,0.0288325341944,41
18.3690550681,0.0436105861966,42
19.6175779591,0.0185705335378,43
20.166596045,0.0393682350182,45
19.5894866462,0.0293247156312,46
19.3387497329,0.100300384926,47
18.0456882595,0.0822234963989,48
19.662667633,0.0670820105215,49
19.4704789191,0.177616424906,51
19.7803834668,0.0262370233294,52
19.2941268268,0.122245008865,53
19.6874380031,0.14754051244,54
19.0798635973,0.0709187031073,55
16.9142224586,0.0602569175584,56
19.694794449,0.114776663936,57
18.8092300578,0.0444373522928,58
19.80708826,0.0730042849586,59
17.8286626333,0.048459649372,60
17.7515670101,0.0786908422375,61
19.4269320369,0.133392439907,62
19.6115341705,0.0586170085187,63
19.3090917931,0.124504053852,64
18.7865138297,0.0785888732595,66
19.909626644,0.166087741457,67
19.677689687,0.0888238817028,68
19.6011664929,0.16028544877,69
19.2594038382,0.0747013514159,70
19.5765639276,0.0334931340864,71
19.8909994994,0.0818105609646,72
19.437672909,0.0376113402216,73
18.4441563456,0.0654773470796,74
19.7109570986,0.0258581211556,75
19.2925138183,0.0479044770733,77
19.5672396303,0.0432540381031,79
19.2994412851,0.057657938989,80
18.8119264209,0.0664633765143,81
19.8448080424,0.0584458091331,82
19.7207428237,0.0422500624108,83
19.670824398,0.118516496961,84
19.9311942468,0.0682687362192,85
19.5382123809,0.0661411295477,86
19.7890031038,0.201300150042,87
19.9563166525,0.121142811273,88
20.3164042922,0.0620298554874,89
18.5902407074,0.0380114582704,91
19.8421197627,0.152898416196,92
18.1391871792,0.0725594246842,93
18.8968894987,0.0589090377521,96
20.0129524495,0.0750534837723,97
19.3428933195,0.0296370818061,99
