A,B,
17.9310068796,0.0544344271565,1
19.012667635,0.0763183395838,4
19.90780242,0.241325364506,5
19.8898370605,0.0576141696382,6
19.2378373253,0.0970468107218,7
20.0571027717,0.271891100231,8
20.2812600302,0.0980133128108,11
19.2040115859,0.0640167076422,12
18.6464381635,0.0657978479369,13
17.8458809778,0.0375842495078,14
19.906598806,0.0774927118969,16
19.8647350493,0.0585016773441,17
19.9496410119,0.095143054778,18
19.8113097736,0.0635880470457,19
18.5303974788,0.0531363357727,20
19.6550322556,0.0522153330579,21
19.8162143606,0.0727902601033,22
18.6676632089,0.0619872851452,23
19.9273477774,0.134732411465,24
19.7626602069,0.0611502406774,26
17.2655075337,0.0461288402391,27
19.9787579922,0.0640416049564,28
19.9523992985,0.0404572048031,29
19.5207734312,0.0716234484169,30
20.0311851831,0.0693973629109,31
19.81416229,0.0415227013602,32
20.0363946405,0.0708693147576,33
18.0448576504,0.0458577399277,34
19.7743480888,0.119462369651,35
19.7330702269,0.0473933590982,36
19.6517181873,0.0476416473476,37
19.7871167577,0.0409577335743,38
19.5782879446,0.0743410686139,39
20.0351688605,0.0481361657291,40
20.0675424208,0.0480859923544,41
18.3784707617,0.0478430466817,42
19.9185137164,0.0267200460594,43
20.0887177277,0.0413719168463,45
19.5357024097,0.0334725182932,46
19.4242533265,0.119412134757,47
18.078744605,0.106111572511,48
19.5597940103,0.0863263692472,49
19.3869757247,0.234234111813,51
19.9401716966,0.0345352263174,52
19.1438960195,0.103425700652,53
19.8444040082,0.160975234754,54
18.9918949968,0.0952831456608,55
16.8877655591,0.0778306208878,56
19.8711636979,0.138265888713,57
19.0019794979,0.0578411523117,58
19.729344559,0.0955370992135,59
17.9693416876,0.0483891017004,60
17.7359488426,0.0952184350751,61
19.3384279228,0.142741036134,62
19.8912439972,0.0758464416237,63
19.5441321872,0.156738107297,65
18.6750578155,0.111134161066,66
20.2211414981,0.0850066696574,67
19.9423527444,0.109625194562,68
19.69855103,0.206307356829,69
19.2897093732,0.0701351800726,70
19.7084256259,0.0306815815699,71
20.0175948039,0.0842055181947,72
19.5695079862,0.040764787531,73
18.5055799535,0.0599140152731,74
19.6640880765,0.0294666925828,75
19.2393118962,0.0478024197158,77
19.885762185,0.0853249413136,79
19.539939418,0.0789156642338,80
19.4235041524,0.10035492271,81
19.8032929879,0.0692050543342,82
20.0219075437,0.0279426991848,83
19.5944155132,0.116363523929,84
20.003889011,0.0726296452818,85
19.5931639291,0.0693885095059,86
19.7459137435,0.215887781081,87
19.835728019,0.099765525786,88
20.4044921339,0.0934522449051,89
18.7126360557,0.0593699084693,91
20.2482157401,0.1686019888,92
18.0995261384,0.0692316991561,93
19.486858185,0.102826822373,96
20.1483026531,0.0904733428406,97
19.5048299292,0.0454690453308,99
