A,B,
18.7277636658,0.106754415625,1
19.3099642977,0.110079406834,4
20.3184595581,0.370601542892,5
20.2199174928,0.0747039716822,6
19.6309185575,0.154878777958,7
20.5587413392,0.236899869451,8
20.7672055443,0.131218406426,11
19.4911270617,0.0986172896161,12
19.3345356346,0.0788502278498,13
18.0126934606,0.0477398078291,14
20.4362059885,0.110805420799,16
20.1835955291,0.0938879665136,17
20.3947774328,0.130558387982,18
18.9928580027,0.0747576925688,20
19.9735430033,0.0834302581339,21
20.1412965975,0.0953009138784,22
19.0285361929,0.0793220665477,23
20.2434371479,0.119669203724,24
20.2291402571,0.104513079297,26
20.1092318646,0.0628403559165,28
19.9881354143,0.0955327770548,30
20.2342436937,0.0595694076736,32
20.1892172837,0.174036530425,35
20.165513043,0.068017435278,36
20.0450024892,0.0683590866578,37
20.1763801427,0.052632816556,38
20.2755378614,0.0809905123122,39
20.4605224911,0.065502726374,40
18.8123439305,0.0568124444536,42
20.5174740287,0.0660209228299,45
20.0356570545,0.0524225438494,46
18.502773466,0.111063714794,48
20.0600511969,0.132558024632,49
20.8117859993,0.0993507874538,52
20.1079301692,0.245252918139,54
19.4749611803,0.134227144499,55
17.4834369525,0.113334088145,56
20.2609005356,0.150038046213,57
19.3766305098,0.0554679009573,58
20.275388223,0.134012234408,59
18.3875628042,0.0306336242155,60
19.5062025367,0.173037842014,62
20.1862833187,0.120686025646,63
19.8911140277,0.200640801391,64
19.0267358289,0.0829460839909,66
20.7484549102,0.133973524283,67
20.6707391732,0.150118799987,68
20.3430913201,0.253896735712,69
19.6793593199,0.0993060652387,70
20.6712046399,0.111612846883,72
20.1112934436,0.0616921171628,73
19.0344730986,0.0871994471652,74
19.9517675482,0.0344759742522,75
19.8256315473,0.0712389946589,77
20.7854785597,0.118223869747,79
20.1378532577,0.127880139855,80
21.4120264946,0.0761732991417,81
20.405330802,0.0928066698027,82
20.539384037,0.0689624276934,83
20.1617655797,0.184700011992,84
20.6505341669,0.106224243828,85
20.0309024795,0.0691413077482,86
20.1974299326,0.205075971578,87
20.3048784071,0.139132882598,88
20.7992287944,0.0945853158946,89
18.9945851067,0.0623064247775,91
20.4560295647,0.195721493703,92
18.6949645811,0.0912371489443,93
21.2188647593,0.0820686571521,96
20.5041498425,0.0835477827899,97
19.8143565725,0.0650362317939,99
